"","schid","parent.ed","female","income","math","read","gen","minority","age","public","attend","gifted","free.lunch","suburban","urban","enrollment","min.percent","parent.ed.cat","income.cat"
"4",15,3,0,15000,32.67,36.22,24.117,0,72.97,1,90.48,0,52.38,0,0,1,1,"A - HS or less","A - Low"
"5",15,5,1,40000,34.15,39.02,27.72,1,63.57,1,90.48,0,52.38,0,0,1,1,"B - College Experience","B - Middle"
"6",15,8,0,35000,37.67,76.16,31.41,0,79,1,90.48,0,52.38,0,0,1,1,"C - Graduate Schooling","B - Middle"
"7",15,5,1,75000,57.87,74.53,36.978,0,77.93,1,90.48,0,52.38,0,0,1,1,"B - College Experience","C - High"
"8",15,4,1,14000,46.79,32.53,23.248,0,70.13,1,90.48,0,52.38,0,0,1,1,"B - College Experience","A - Low"
"9",15,3,1,50000,18.44,28.07,22.675,0,68.6,1,90.48,0,52.38,0,0,1,1,"A - HS or less","B - Middle"
"10",15,5,0,37000,34.76,44.63,29.668,0,68.23,1,90.48,0,52.38,0,0,1,1,"B - College Experience","B - Middle"
"11",15,1,1,10000,13.08,28.2,18.335,0,73.57,1,90.48,0,52.38,0,0,1,1,"A - HS or less","A - Low"
"12",15,3,1,25000,28.47,35,26.651,0,66.5,1,90.48,0,52.38,0,0,1,1,"A - HS or less","B - Middle"
"13",15,5,1,10000,27.46,40.36,20.36,0,62.9,1,90.48,0,52.38,0,0,1,1,"B - College Experience","A - Low"
"15",15,8,1,50000,51.04,36.09,41.508,0,77.37,1,90.48,0,52.38,0,0,1,1,"C - Graduate Schooling","B - Middle"
"16",15,3,0,35000,19.46,29.17,18.967,0,69.67,1,90.48,0,52.38,0,0,1,1,"A - HS or less","B - Middle"
"17",15,3,1,10000,21.8,28.09,18.49,0,70.03,1,90.48,0,52.38,0,0,1,1,"A - HS or less","A - Low"
"18",15,3,1,70000,27.63,33.65,24.594,0,73.97,1,90.48,0,52.38,0,0,1,1,"A - HS or less","B - Middle"
"19",15,8,1,10000,19.73,31.22,24.478,0,63.37,1,90.48,0,52.38,0,0,1,1,"C - Graduate Schooling","A - Low"
"20",15,5,1,13000,21.07,30.04,24.065,0,63.43,1,90.48,0,52.38,0,0,1,1,"B - College Experience","A - Low"
"21",15,5,0,33000,42.17,52.32,33.003,0,64.2,1,90.48,0,52.38,0,0,1,1,"B - College Experience","B - Middle"
"22",15,3,0,10000,46.26,86.76,38.12,0,64.93,1,90.48,0,52.38,0,0,1,1,"A - HS or less","A - Low"
"23",15,5,1,37000,34.86,38.93,35.449,0,76.8,1,90.48,0,52.38,0,0,1,1,"B - College Experience","B - Middle"
"24",15,5,1,12000,44.55,45.33,31.592,0,72.53,1,90.48,0,52.38,0,0,1,1,"B - College Experience","A - Low"
"25",21,3,0,35000,33.08,40.76,31.528,0,62.77,1,96,0,42.86,0,0,1,1,"A - HS or less","B - Middle"
"26",21,3,0,26000,28.01,44.16,24.953,0,67.57,1,96,0,42.86,0,0,1,1,"A - HS or less","B - Middle"
"27",22,5,1,23000,35.22,51.15,27.663,0,63.43,1,95,15.64,16.29,0,0,3,1,"B - College Experience","A - Low"
"28",22,9,1,70000,40.19,46.67,33.632,0,64.1,1,95,15.64,16.29,0,0,3,1,"C - Graduate Schooling","B - Middle"
"29",22,5,1,30000,20.97,28.53,17.092,0,65.07,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"30",22,3,0,50000,29.39,45.91,26.623,0,62.63,1,95,15.64,16.29,0,0,3,1,"A - HS or less","B - Middle"
"31",22,6,1,150000,31.57,48.25,28.133,0,73.63,1,95,15.64,16.29,0,0,3,1,"B - College Experience","C - High"
"32",22,3,0,35000,37.21,48.6,29.902,0,68.47,1,95,15.64,16.29,0,0,3,1,"A - HS or less","B - Middle"
"33",22,4,1,29000,28.75,41.19,26.416,0,68.33,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"34",22,4,0,54000,28.09,38.4,26.28,0,71.37,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"35",22,6,1,68000,35.63,51.07,36.157,0,72.33,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"36",22,5,0,35000,32.51,41.57,24.483,0,63.07,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"37",22,5,0,82000,37.76,48,30.45,0,71.4,1,95,15.64,16.29,0,0,3,1,"B - College Experience","C - High"
"38",22,3,1,12000,24.24,36.12,12.065,0,68.93,1,95,15.64,16.29,0,0,3,1,"A - HS or less","A - Low"
"39",22,6,0,80000,26.1,39.82,20.016,0,66.33,1,95,15.64,16.29,0,0,3,1,"B - College Experience","C - High"
"40",22,8,0,150000,28.93,41.53,30.378,0,63.17,1,95,15.64,16.29,0,0,3,1,"C - Graduate Schooling","C - High"
"42",22,5,1,29000,25.79,47.73,33.391,0,64.43,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"43",22,4,0,17000,38.69,46.66,27.366,0,65.97,1,95,15.64,16.29,0,0,3,1,"B - College Experience","A - Low"
"44",22,3,1,50000,31.41,43.86,28.609,0,62.27,1,95,15.64,16.29,0,0,3,1,"A - HS or less","B - Middle"
"45",22,4,1,30000,19.98,33.54,22.62,0,66.17,1,95,15.64,16.29,0,0,3,1,"B - College Experience","B - Middle"
"46",23,6,1,50000,42.39,51.57,30.061,0,72.13,1,96,0,29.5,0,0,4,1,"B - College Experience","B - Middle"
